price;number_destinations;download_date;day_week_0;airlines;duration_0;number_stops_0;date_0;arrival_time_0;currency;stops_0;depart_time_0;depart_airport_0;link;arrival_airport_0
24;1;23-09-2017-14h-04m-47s;mié;Ryanair;2.5;0;29-11;9:00;€;;6:30;MAD;https://www.kayak.es/flights/MAD-ROM/2017-12-02-flexible;CIA
24;1;23-09-2017-14h-04m-47s;mié;Ryanair;2.5;0;29-11;16:10;€;;13:40;MAD;https://www.kayak.es/flights/MAD-ROM/2017-12-02-flexible;CIA
24;1;23-09-2017-14h-04m-47s;mié;Ryanair;2.5;0;29-11;20:25;€;;17:55;MAD;https://www.kayak.es/flights/MAD-ROM/2017-12-02-flexible;CIA
28;1;23-09-2017-14h-04m-47s;dom;Ryanair;2.5;0;3-12;16:10;€;;13:40;MAD;https://www.kayak.es/flights/MAD-ROM/2017-12-02-flexible;CIA
34;1;23-09-2017-14h-04m-47s;jue;Ryanair;2.5;0;30-11;20:25;€;;17:55;MAD;https://www.kayak.es/flights/MAD-ROM/2017-12-02-flexible;CIA
34;1;23-09-2017-14h-04m-47s;jue;Ryanair;2.5;0;30-11;16:10;€;;13:40;MAD;https://www.kayak.es/flights/MAD-ROM/2017-12-02-flexible;CIA
38;1;23-09-2017-14h-04m-47s;dom;Ryanair;2.5;0;3-12;9:00;€;;6:30;MAD;https://www.kayak.es/flights/MAD-ROM/2017-12-02-flexible;CIA
38;1;23-09-2017-14h-04m-47s;dom;Ryanair;2.5;0;3-12;20:25;€;;17:55;MAD;https://www.kayak.es/flights/MAD-ROM/2017-12-02-flexible;CIA
38;1;23-09-2017-14h-04m-47s;sáb;Ryanair;2.5;0;2-12;16:10;€;;13:40;MAD;https://www.kayak.es/flights/MAD-ROM/2017-12-02-flexible;CIA
38;1;23-09-2017-14h-04m-47s;sáb;Ryanair;2.5;0;2-12;20:25;€;;17:55;MAD;https://www.kayak.es/flights/MAD-ROM/2017-12-02-flexible;CIA
38;1;23-09-2017-14h-04m-47s;sáb;Ryanair;2.5;0;2-12;9:00;€;;6:30;MAD;https://www.kayak.es/flights/MAD-ROM/2017-12-02-flexible;CIA
38;1;23-09-2017-14h-04m-47s;lun;Ryanair;2.5;0;4-12;9:00;€;;6:30;MAD;https://www.kayak.es/flights/MAD-ROM/2017-12-02-flexible;CIA
38;1;23-09-2017-14h-04m-47s;lun;Ryanair;2.5;0;4-12;16:10;€;;13:40;MAD;https://www.kayak.es/flights/MAD-ROM/2017-12-02-flexible;CIA
40;1;23-09-2017-14h-04m-47s;jue;Ryanair;2.5;0;30-11;9:00;€;;6:30;MAD;https://www.kayak.es/flights/MAD-ROM/2017-12-02-flexible;CIA
42;1;23-09-2017-14h-04m-47s;lun;Ryanair;21.2;1;4-12;11:10;€;BVA;13:55;MAD;https://www.kayak.es/flights/MAD-ROM/2017-12-02-flexible;CIA
44;1;23-09-2017-14h-04m-47s;lun;Ryanair;11.2;1;4-12;7:35;€;SOF;20:20;MAD;https://www.kayak.es/flights/MAD-ROM/2017-12-02-flexible;CIA
45;1;23-09-2017-14h-04m-47s;lun;Ryanair;2.5;0;4-12;20:35;€;;18:05;MAD;https://www.kayak.es/flights/MAD-ROM/2017-12-02-flexible;CIA
45;1;23-09-2017-14h-04m-47s;vie;Ryanair;2.5;0;1-12;16:10;€;;13:40;MAD;https://www.kayak.es/flights/MAD-ROM/2017-12-02-flexible;CIA
49;1;23-09-2017-14h-04m-47s;mié;Iberia;2.5;0;29-11;22:10;€;;19:40;MAD;https://www.kayak.es/flights/MAD-ROM/2017-12-02-flexible;FCO
